drama_name,genre,whole_density,whole_diameter,whole_average_clustering,wo1_density,wo1_diameter,wo1_average_clustering,wo2_density,wo2_diameter,wo2_average_clustering,wo3_density,wo3_diameter,wo3_average_clustering,wo4_density,wo4_diameter,wo4_average_clustering,wo5_density,wo5_diameter,wo5_average_clustering
HerzogTheodorvonGothland-EineTragödieinfünfAkten,Tragedy,0.29698189134808856,2,0.8936021514540009,0.31840796019900497,2,0.8970253965230428,0.33685880486515074,2,0.901330015660714,0.31245791245791243,2,0.8697914851595399,0.3448275862068966,2,0.8879280447730318,0.39080459770114945,2,0.8906420271217099
FranzvonSickingen-EinehistorischeTragödie,Tragedy,0.12748015873015872,6,0.8239651229081378,0.1295442908346134,6,0.8238090988791272,0.14067796610169492,6,0.8577895946645949,0.137012987012987,6,0.8124781303352734,0.23106060606060605,6,0.806179006179006,0.14949201741654572,5,0.8145972484606082
Brutus-EinTrauerspielinfünfAufzügen,Tragedy,0.6190476190476191,2,0.7095238095238096,0.6190476190476191,2,0.7095238095238096,0.5714285714285714,2,0.5571428571428572,0.6190476190476191,2,0.7095238095238096,0.6,2,0.7999999999999999,0.6666666666666666,2,0.6388888888888887
DerneueMenozaoderGeschichtedescumbanischenPrinzenTandi-EineKomödie,Comedy,0.3333333333333333,4,0.7503075628075629,0.3557312252964427,4,0.7467078814904902,0.32608695652173914,4,0.7481287231287231,0.475,3,0.758198051948052,0.3333333333333333,4,0.6688355504144978,0.35177865612648224,4,0.8047768656464309
DersterbendeCato-EinTrauerspiel,Tragedy,0.5555555555555556,3,0.7921428571428573,0.5111111111111111,3,0.6723809523809524,0.4888888888888889,3,0.7661904761904762,0.5333333333333333,3,0.7857142857142858,0.5111111111111111,3,0.7488095238095237,0.5111111111111111,3,0.6952380952380952
DerUnbestechliche-LustspielinfünfAkten,Comedy,0.6282051282051282,2,0.7606449106449106,0.7272727272727273,2,0.813059163059163,0.6153846153846154,2,0.7562437562437563,0.6282051282051282,2,0.7606449106449106,0.6153846153846154,2,0.7764513264513264,0.48717948717948717,3,0.7092740592740593
KönigOttokarsGlückundEnde-TrauerspielinfünfAufzügen,Tragedy,0.4630325814536341,2,0.8900444923770925,0.476734693877551,2,0.9040188270443167,0.5120663650075414,2,0.8951207738027075,0.5887949260042283,2,0.8854403225238857,0.5029027576197388,2,0.8963212606562615,0.5464646464646464,2,0.8933183484679991
MutterMaria-EineTragödieinfünfAkten,Tragedy,0.4908424908424908,2,0.9291539427932354,0.4908424908424908,2,0.9291539427932354,0.5819620253164557,2,0.9423094542925042,0.6368530020703934,2,0.9496228930604924,0.5688329839273235,2,0.9193487445698912,0.5403361344537815,2,0.9334807161259495
MinnavonBarnhelmoderdasSoldatenglück-EinLustspielinfünfAufzügen,Comedy,0.4230769230769231,3,0.757031857031857,0.5272727272727272,2,0.8297979797979799,0.4230769230769231,3,0.757031857031857,0.41025641025641024,3,0.7466588966588967,0.4696969696969697,2,0.7526575276575276,0.5555555555555556,3,0.7470899470899471
MichelMichael-KomödieinfünfAkten,Comedy,0.6551418439716312,2,0.8928114822303209,0.6551418439716312,2,0.8928114822303209,0.6733615221987315,2,0.9238556552793648,0.8015873015873016,2,0.9222052457346572,0.7825396825396825,2,0.9180257083070382,0.6780758556891767,2,0.8938726108557964
