title,title_pretty,genre,is_whole,acts_1_density,acts_1_diameter,acts_1_average_clustering,acts_1-2_density,acts_1-2_diameter,acts_1-2_average_clustering,acts_1-2-3_density,acts_1-2-3_diameter,acts_1-2-3_average_clustering,acts_1-2-3-4_density,acts_1-2-3-4_diameter,acts_1-2-3-4_average_clustering,acts_1-2-3-4-5_density,acts_1-2-3-4-5_diameter,acts_1-2-3-4-5_average_clustering
corneillep-pertharite,Pertharite,Tragedy,True,0.6666666666666666,2,0.5833333333333334,0.9,2,0.9,0.8666666666666667,2,0.9,0.8666666666666667,2,0.9,0.7619047619047619,2,0.8095238095238095
corneillep-place-royale,La Place Royale,Comedy,True,0.3,2,0.0,0.38095238095238093,3,0.21428571428571427,0.42857142857142855,3,0.38095238095238093,0.47619047619047616,3,0.38095238095238093,0.5357142857142857,3,0.6916666666666667
corneillep-polyeucte,Polyeucte Martyr,Tragedy,True,0.4,3,0.3611111111111111,0.2777777777777778,4,0.3851851851851852,0.2777777777777778,4,0.3851851851851852,0.2777777777777778,4,0.3851851851851852,0.3333333333333333,4,0.3814814814814815
corneillep-pulcherie,Pulchérie,Comedy,True,0.8333333333333334,2,0.8333333333333333,0.6666666666666666,2,0.8055555555555555,0.8,2,0.7277777777777777,0.9333333333333333,2,0.9333333333333332,0.9333333333333333,2,0.9333333333333332
corneillep-rodogune,"Rodogune, Princesse des Parthes",Tragedy,True,0.4,4,0.0,0.4666666666666667,3,0.27777777777777773,0.47619047619047616,3,0.21428571428571427,0.47619047619047616,3,0.21428571428571427,0.7619047619047619,2,0.8476190476190476
corneillep-sertorius,Sertorius,Tragedy,True,0.5,3,0.0,0.4,3,0.16666666666666666,0.38095238095238093,3,0.42857142857142855,0.47619047619047616,2,0.7999999999999999,0.5277777777777778,3,0.6878306878306879
corneillep-sophonisbe,Sophonisbe,Tragedy,True,0.4,2,0.0,0.3333333333333333,3,0.20476190476190476,0.3055555555555556,3,0.28148148148148144,0.2909090909090909,3,0.37489177489177483,0.3484848484848485,3,0.49563492063492065
corneillep-suite-menteur,La Suite du Menteur,Comedy,True,0.6,2,0.8666666666666666,0.47619047619047616,3,0.5190476190476191,0.6190476190476191,2,0.7952380952380952,0.7142857142857143,2,0.8380952380952381,0.7619047619047619,2,0.8666666666666666
corneillep-suivante,La Suivante,Comedy,True,0.7,2,0.7,0.38095238095238093,2,0.5,0.42857142857142855,3,0.3833333333333333,0.4444444444444444,3,0.5555555555555556,0.4444444444444444,3,0.660952380952381
corneillep-surena,Suréna,Tragedy,True,0.5,2,0.0,0.4,4,0.0,0.42857142857142855,4,0.23809523809523808,0.42857142857142855,4,0.23809523809523808,0.5714285714285714,3,0.6476190476190476
corneillep-theodore,Théodore Vierge et Martyre,Tragedy,True,0.4,3,0.0,0.47619047619047616,3,0.5571428571428572,0.6666666666666666,2,0.819047619047619,0.5277777777777778,3,0.7661375661375661,0.75,2,0.7976190476190477
corneillep-tite,Tite et Bérénice,Comedy,True,0.5,3,0.0,0.3333333333333333,3,0.11904761904761904,0.35714285714285715,3,0.25,0.35714285714285715,3,0.25,0.35714285714285715,3,0.25
corneillep-toison,La Conquête de la Toison d'or,Tragedy,False,0.43636363636363634,3,0.8177489177489178,0.4725274725274725,3,0.8502576788291074,0.41904761904761906,3,0.7745262145262146,0.38333333333333336,3,0.7801635864135864,0.3473684210526316,3,0.7612654012654013
corneillep-veuve-34,La Veuve ou Le Traître Trahi,Comedy,True,0.23809523809523808,3,0.0,0.38095238095238093,5,0.38095238095238093,0.34545454545454546,3,0.6727272727272727,0.3787878787878788,3,0.7074074074074074,0.4696969696969697,2,0.8168109668109668
corneillep-veuve,La Veuve,Comedy,True,0.23809523809523808,3,0.0,0.38095238095238093,5,0.38095238095238093,0.37777777777777777,3,0.6466666666666667,0.36363636363636365,3,0.6222222222222222,0.4393939393939394,2,0.7244949494949494
corneillet-amour-a-la-mode,L'Amour à la Mode,Comedy,True,0.6666666666666666,2,0.5833333333333334,0.3333333333333333,3,0.34444444444444444,0.5555555555555556,3,0.707936507936508,0.5777777777777777,3,0.7228571428571429,0.6888888888888889,3,0.7714285714285715
corneillet-ariane,Ariane,Tragedy,True,0.5,3,0.3333333333333333,0.47619047619047616,3,0.5095238095238095,0.5238095238095238,3,0.5238095238095238,0.5714285714285714,3,0.6,0.8095238095238095,2,0.8714285714285713
corneillet-baron-d-albikrac,Le Baron d'Albikrac,Tragedy,True,0.8214285714285714,2,0.8773809523809524,0.8928571428571429,2,0.9285714285714286,0.8928571428571429,2,0.9285714285714286,0.8928571428571429,2,0.9285714285714286,0.9642857142857143,2,0.9642857142857142
corneillet-berenice,Bérénice,Tragedy,True,0.3333333333333333,3,0.0,0.3888888888888889,3,0.29259259259259257,0.4444444444444444,3,0.4444444444444444,0.5,3,0.6074074074074074,0.5555555555555556,3,0.733095238095238
corneillet-bradamante,Bradamante,Tragedy,True,0.4,3,0.3888888888888889,0.42857142857142855,3,0.619047619047619,0.47619047619047616,3,0.7000000000000001,0.5238095238095238,3,0.619047619047619,0.5714285714285714,3,0.7619047619047619
corneillet-camma,"Camma, Reine de Galatie",Tragedy,True,0.3333333333333333,4,0.0,0.6,3,0.6388888888888888,0.5714285714285714,3,0.6714285714285715,0.6190476190476191,3,0.7142857142857143,0.7619047619047619,2,0.8476190476190476
corneillet-charme-de-la-voix,Le Charme de la Voix,Comedy,True,0.5238095238095238,3,0.6904761904761905,0.8095238095238095,2,0.7714285714285715,0.7857142857142857,2,0.8119047619047619,0.8928571428571429,2,0.8839285714285714,0.9285714285714286,2,0.9190476190476191
corneillet-comte-d-essex,Le Comte d'Essex,Tragedy,True,0.5,2,0.0,0.47619047619047616,3,0.5190476190476191,0.5238095238095238,3,0.6523809523809524,0.6190476190476191,2,0.6952380952380952,0.6190476190476191,2,0.6952380952380952
corneillet-comtesse-orgueil,La Comtesse d'Orgueil,Comedy,True,0.4444444444444444,3,0.8037037037037037,0.5333333333333333,3,0.8107142857142857,0.6444444444444445,2,0.8612698412698412,0.8,2,0.8778571428571429,0.8444444444444444,2,0.9253968253968254
corneillet-darius,Darius,Tragedy,True,0.3333333333333333,3,0.19047619047619047,0.4642857142857143,3,0.5333333333333333,0.4642857142857143,3,0.5333333333333333,0.5714285714285714,3,0.625,0.5714285714285714,3,0.625
corneillet-dom-bertran-de-cigarral,Don Bertran de Cigarral,Comedy,True,0.9,2,0.9,1.0,1,1.0,0.8888888888888888,2,0.9444444444444444,0.7818181818181819,2,0.9111111111111111,0.7818181818181819,2,0.9111111111111111
corneillet-dom-cesar-d-avalos,Don César d'Avalos,Comedy,True,1.0,1,1.0,0.9047619047619048,2,0.9238095238095239,0.9047619047619048,2,0.9238095238095239,0.7222222222222222,2,0.8407407407407407,0.8055555555555556,2,0.8809523809523809
corneillet-engagements-du-hasard,Les Engagements du Hasard,Comedy,True,0.4444444444444444,3,0.8148148148148148,0.5,3,0.8624338624338624,0.5333333333333333,3,0.6885714285714286,0.6666666666666666,2,0.7678571428571429,0.8222222222222222,2,0.880952380952381
corneillet-feint-astrologue,Le Feint Astrologue,Comedy,True,0.3333333333333333,5,0.0,0.4722222222222222,4,0.5925925925925926,0.4727272727272727,3,0.7922077922077921,0.5454545454545454,3,0.7317460317460317,0.6909090909090909,3,0.850937950937951
