name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"anonyme-pardonneur","fre000028","","[anonyme]","0","Farce Nouvelle Tres Bonne et Fort Joyeuse à Trois Personnages d'un Pardonneur d'un Triacleur et d'une Tavernière","","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PARDONNEUR.xml","","","","","1520","3","false","1","1","1","le-pardonneur|le-triacleur|la-taverniere","2","1","","","","2","3","1","1","1","0","1","3","1517/1520","2","","1","2","2426","2348","14","0","321"
"anonyme-pont-aux-anes","fre000029","","[anonyme]","0","Farce Nouvelle Fort Joyeuse du Pont aux Anes","À quatre personnages,c'est à savoir","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PONTAUXANES.xml","","","","","1480","4","false","0","0.5","1.5","le-mari","1.5","2","","","","3","4","0","3","1","0","1","3","1480","4","","0","4","2235","2154","3","0","286"
"anonyme-portier-du-parnasse","fre000030","","[anonyme]","0","Le Portier du Parnasse","Ou les Poètes Réformés","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PORTIERDUPARNASSE.xml","","","","","1770","12","false","0.6518518518518519","0.25757575757575757","1.690909090909091","apollon","2.8333333333333335","2","","","1770","10","12","4","6","2","0","2","17","","23","","1","23","8692","8286","53","334","0"
"anonyme-prix-d-un-moment","fre000031","","[anonyme]","0","Le Prix d'un Moment","Petite Pièce en un Acte et en Prose, Melée D'Airs.","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PRIXDUNMOMENT.xml","","","","","1772","5","false","0.7","0.7","1.3","louis","2.8","2","","","1772","4","5","0","4","1","0","1","7","","5","","1","5","3317","2775","142","41","152"
"anonyme-reception-argenson","fre000032","","[anonyme]","0","La Réception de Monseigneur le Vicomte d'Argenson","Par Toutes les Nations du Pays de Canada à son Entrée au Gouvernement de la Nouvelle-France.","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_RECEPTIONARGENSON.xml","","","","","1658","13","false","1","0.5384615384615384","1","several characters","6.461538461538462","1","1658-07-28","1658","1658","8","13","0","5","8","0","2","42","","3","","1","3","1969","1782","72","16","40"
"anonyme-resurrection-du-sauveur","fre000033","","[anonyme]","1","La Résurrection du Sauveur","Fragment d'un Mystère Inédit","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_RESURRECTIONDUSAUVEUR.xml","","","","","1834","9","false","0.7936507936507937","0.6111111111111112","1.2142857142857142","pilate|un-soldat|caïphe","4.888888888888889","2","","","1834","7","9","0","6","3","0","2","22","","6","","0","6","3032","2603","358","67","0"
"anonyme-resurrection-jenin-landore","fre000034","","[anonyme]","0","Farce Nouvelle Très Bonne et Fort Joyeuse de la Resurrection de Jenin Landore","À quatre personnages, c'est à savoir","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_RESURRECTIONJENINLANDORE.xml","","","","","1512","4","false","1","1","1","several characters","3","1","","","1547/1557","3","4","0","3","1","0","1","6","1511/1512","1","","1","1","1968","1909","0","0","242"
"anonyme-sauvages-civilises","fre000035","","[anonyme]","0","Les Sauvages ou Le Roi Bienfaisant.","Opéra National.","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_SAUVAGESCIVILISES.xml","","","","","1789","22","true","0.8464854812448395","0.47619047619047616","1.5714285714285714","idamir","10","3","","","1789","18","22","2","4","16","0","1","110","","14","","3","14","4862","3469","1139","0","447"
"anonyme-serail-de-de-lys","fre000036","","[anonyme]","0","Le Sérail de de Lys","Parodie d'Alcibiade","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_SERAILDEDELYS.xml","","","","","1735","4","false","0","0.5","1.5","alcibiade","1.5","2","","","1735","3","4","2","2","0","0","1","3","","3","","0","3","2173","823","32","0","72"
"anonyme-sermon-joyeux","fre000037","","[anonyme]","0","Sermon Joyeux de Bien Boire","À deux personnages, c'est à savoir","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_SERMONJOYEUX.xml","","","","","1545","2","false","0","1","1","le-cuisinier|le-precheur","1","1","","","1545","1","2","0","2","0","0","1","1","","1","","1","1","2598","2549","0","0","353"
